Title,Location,Shuttle shop,Neighbourhood
Raw,"220 Elm - 204, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
red egg,415 W. High Ave.,Shuttle Stop: 29 (Red Line),Neighborhood: North Elm
Red Horse Arts,"Showplace - 2319, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Regal Fabrics,"Market Square Tower - 2000, 2050, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Regina Andrew,"IHFC - IH006, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Remacro Machinery & Technology Co., Ltd.",207 S. Main St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Remedy Sleep,"IHFC - C601, Commerce, Floor 6",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Renar Furniture,"243 S. Main St., 2nd Floor",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Reprotique,"Suites At Market Square - G-6044, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Resource Center,Resource Center - 329 S. Wrenn St. ,Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Reunion by Matthew Williams,130 N. Lindsay St. ,Shuttle Stop: 28 (Red Line),Neighborhood: North Elm
Revelation by Uttermost,"IHFC - C447, Commerce, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Revolution Fabrics,"312 S. Hamilton St. - 3rd Fl, Ste. 303",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
RFA Decor - A Rosenbaum Art Company,"IHFC - H223, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Rich Gecko Home Fashions,"Suites At Market Square - M-4026, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Richloom Fabrics,"Market Square Tower - 900, 932, Floor 9",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Ridgeway Clocks,"IHFC - C754, Commerce, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Risk Assurance Partners, LLC","Plaza Suites - 1-538, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Riverside Furniture Corporation,401 S. Main St.,Shuttle Stop: 10 (Green Line),Neighborhood: Downtown Main
Rizzy Home,"Showplace - 3515, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
RM Coco Decor,"Suites At Market Square - M-5017, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Ro Sham Beaux,122 N. Main St.,Shuttle Stop: 25 (Red Line),Neighborhood: Downtown Main
Robert Abbey,"IHFC - W244, Wrenn, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Robert Massello Antiques,"214 Modern Vintage - 314 W. Russell Ave., Floor 1",Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
Roberta Schilling Collection,"IHFC - H238, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Robin Bruce,"Showplace - 1100, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Robin Leonard Designer Pillows,"Market Square - G-1, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Rockford Wholesale,"Profit Center - 156 S. Main St. , Floor 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Rogers Design Group LLC,"Radio Building - 812, Floor 8",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
RoomMates – a division of York Wallcoverings,"Suites At Market Square - M-7044, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Rotta Moveis,"243 S. Main St., 2nd Fl",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Rowe Furniture,"Showplace - 1100, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Rowley,"Suites At Market Square - M-4020, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Roy Zito,"Market Square - G-32, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Royal Classics,135 S. Hamilton St.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
RT Dressings,"Suites At Market Square - M-8037, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Rue Auber Antiques,"Market Square - G-19, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Rue Michelle,"Chelsea On Green - B100, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
RuffSawn,"Showplace - 4300, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Rug & Kilim,"Suites At Market Square - G-7055, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Rug & Kilim,"IHFC - G373, Green, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Rugs America,"IHFC - W346, Wrenn, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Rush Furniture / Vrush Ind. Inc / Rush Mattress,"4228 Furniture Ave. Jamestown, NC 27282 ",Shuttle Stop: 0 (Go Anywhere Shuttle),
Rushton Abstracts,"Suites At Market Square - M-6014, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Rustique,"Centers of High Point: Centennial - 102, Floor 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Ryan Korban,116 S. Lindsay St. ,Shuttle Stop: 6 (Green Line),Neighborhood: Market Square & Elm
Ryan Studio,"IHFC - IH400, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
S & D Fine Upholstery Leather,"Market Square Tower - 413, Floor 4",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Saatvik LLC,"Suites At Market Square - G-5027, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Saba Italia,"220 Elm - 328, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Sabine Maes Art,515 S. Hamilton St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Saddlemans,"Suites At Market Square - G-1023, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Safavieh,"Market Square - 117, 120, 121, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Sagebrook Home,"IHFC - H324, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Sam Moore Furniture LLC,"IHFC - C1058, Commerce, Floor 10",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Samad,"Market Square Tower - 115, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
SAMS International,"Showplace - 3600, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Samuel Lawrence Furniture/SLF,"220 Elm - 200, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Sandy Luther Antiques and Architecturals,"Market Square - G-47B, G-48, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
SANGIACOMO,"220 Elm - 328, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Sarreid Ltd.,"Commerce & Design - 3D, Floor 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Sassy Gems by Geri,"Suites At Market Square - M-8002, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Sauder,"220 Elm - 218, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Savvy Rest, Inc.","IHFC - M630, Main, Floor 6",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Scarborough House Fine Furniture and Furnishings,"200 Steele - 119, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Scholtissek by Planum,1822 English Rd.,Shuttle Stop: 0 (Go Anywhere Shuttle),
Schonbek,"Suites At Market Square - M-1000A, M-1000B, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Schwung Home Sp. z.o.o.,501 S. Centennial St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Schwung Home USA Inc.,501 S. Centennial St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Sea Winds Trading Co.,"Plaza Suites - 1-517, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Sealy Sofa Convertibles,"Plaza Suites - 410, Floor 4",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Seasonal Living,"IHFC - IH102, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Seda France,"Suites At Market Square - M-3031, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Selamat Designs,"IHFC - IH004 , Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Selva,"525 N. Wrenn St., Floor1",Shuttle Stop: 22 (Red Line),Neighborhood: Hamilton Wrenn
Serta,"IHFC - M510, Main, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Shadow Catchers,"200 N. Hamilton St. - S Ct 108, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Shannon Koszyk Collection,501 S. Centennial St. ,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Shayne USA,Mill on Centennial -  126A S. Centennial St. ,Shuttle Stop: 15 (Red Line),Neighborhood: Commerce Concourse
Shelba D Johnson Trucking,"IHFC - D749, Design Center, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Shenandoah Furniture Inc,423 Manning St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Sherrill Furniture Company,"315 Fred Alexander Pl., Ste. 100",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Shifman Mattresses,108 E. Martin Luther King Jr. Dr.,Shuttle Stop: 25 (Red Line),Neighborhood: Hamilton Wrenn
SHIMA,"Suites At Market Square - G-6054, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Showplace,Showplace - 211 E. Commerce Ave.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Showrooms 2220,"Market Square - G-14, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Showrooms at Centennial and Green,Showrooms at Centennial and Green - 300 S. Centennial St.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Centennial Wrenn South
Sifas,"IHFC - IH503, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Signature Pillows,"Suites At Market Square - M-1000, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Silk Crafts Inc.,"Market Square Tower - 2040, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Simon Li Furniture,"Showplace - 4200, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Simply Amish, Okaw Amish","200 N. Hamilton St. - N Ct 102, 103, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Simply Bunk Beds,"Atrium on Main - 210, Floor 2",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Siscovers,"IHFC - C503, Commerce, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Sklar-Peppler Furniture Corp.,"Centers of High Point: Russell - 101, Floor 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Skovby,"220 Elm - 331, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Sky Systemz,"Plaza Suites - 1-727, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Skyline Design,"Centers of High Point: 411 Manning, Floor 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Skyline Furniture Mfg/Skyline Imports,"220 Elm - 212, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Sleep & Beyond,"Showrooms at Centennial and Green - 300 S. Centennial St. , Floor 4",Shuttle Stop: 2 (Green Line),Neighborhood: Centennial Wrenn South
Sleepwell/Silentnight Mattress,"IHFC - M508, M510, M531, Main, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Sleepy Hollow Antiques,"Market Square - G-49, G-50, G-51, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Sligh,"1300 National Highway, Thomasville, NC 27360",Shuttle Stop: 0 (Go Anywhere Shuttle),
SmithHonig,108-110 S. Elm St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Snap Finance,"Plaza Suites - 1-527 #16, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Sofamaster,"Centers of High Point: Centennial - 005, Lower Level",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
"Soft Line America, LLC",131 W. Commerce Ave.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Soicher-Marin,326 N. Hamilton St.,Shuttle Stop: 19 (Red Line),Neighborhood: Hamilton Wrenn
Solaria Lighting,Profit Center - 110 W. Commerce Ave.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Solstice Sleep Products Inc.,"IHFC - H1243, Hamilton, Floor 12",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Somar Creations,"Suites At Market Square - M-7039, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Somerset Bay,422 N. Wrenn St.,Shuttle Stop: 23 (Red Line),Neighborhood: Hamilton Wrenn
Sonder Living/Sonder Distribution,"330 N. Hamilton St. - 203, Floor 2",Shuttle Stop: 19 (Red Line),Neighborhood: Hamilton Wrenn
Sono Inspired,"Showplace - 3446, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Sorella Glenn,"Suites At Market Square - G-7029, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Sorelle Furniture,"Centers of High Point: Hamilton - 128, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Sound Gallery,"Suites At Market Square - M-3024, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
SOUNDSTAGE USA,"Atrium on Main - 214, Floor 2",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
SOURCC,111 N. Wrenn St.,Shuttle Stop: 25 (Red Line),Neighborhood: Downtown Main
SOURCEBYNET,"812 Millis, Floor 1",Shuttle Stop: 0 (Go Anywhere Shuttle),
South + English,208-212 E. Martin Luther King Jr. Dr.,Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
South Sea Outdoor Living,"Plaza Suites - C-102, Club Level",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
South Shore Furniture,"Commerce & Design - 6N, Floor 6",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Southern Home,"Suites At Market Square - M-2008, M-3000, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Southern Motion,"Plaza Suites - 400, Floor 4",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Southern Portico/Roman Antiques,"Chelsea On Green - B203, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Southwest Looms and The Persian Carpet,"Suites At Market Square - G-1042, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Spectra Home,"200 N. Hamilton St. - N Ct 211, 213, Floor 2",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
"Spectra Wood, Inc","IHFC - D504, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Spectrum Marketing,"Plaza Suites - 1-527 #T-2, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Spicher and Co,"IHFC - D423, Design Center, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
SPLASHWORKS,515 W. English Rd.,Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
Springs Creative - Baxter Mill Archive,"Market Square Tower - 401, Floor 4",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Square Feathers,"IHFC - IH601, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
St. James Lighting,"Suites At Market Square - G-6002, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
ST2,"525 N. Wrenn St., Floor1",Shuttle Stop: 22 (Red Line),Neighborhood: Hamilton Wrenn
Standard Furniture,"Centers of High Point: Hamilton - 206, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Standard Living,"Centers of High Point: Hamilton - 206, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Stanford Furniture,333 N. Hamilton St.,Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Stanton Gray Artisan Wall Coverings ,"Market Square - 200, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
"Star International Furniture, Inc./Essentials For Living","Showplace - 3148, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Stark Studio Rugs,"Market Square - 216, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Step One,Holland House - 449 S. Wrenn St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Stephanie Schofield,"214 Modern Vintage - 314 W. Russell Ave., Floor 1",Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
Stephen Wilson Studio,"Suites At Market Square - G-7020, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Steve Silver Company,"Plaza Suites - C-100, Club Level",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Steven Shell,"Showplace - 2340, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
STI Fabrics,"312 S. Hamilton St. - 3rd Fl, Ste. 303",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Stickley,225 N. Elm St.,Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
Stitch Seating,"Centers of High Point: Hamilton - 221, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Stone & Leigh,128 S. Main St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Stone International USA,"IHFC - D701, Design Center, Floor 7",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"STORIS, Inc.","Plaza Suites - 1-527 #2, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Stout's Great Stuff,"Market Square - G-30B, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Stowed,"Suites At Market Square - G-6000A, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Streamline Art,"IHFC - W248, Wrenn, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Stressless,"220 Elm - 120, Level 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
String & Splinter Club,"Market Square - 001, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Studio A Home,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Style Line by Elements International,411 S. Main St.,Shuttle Stop: 10 (Green Line),Neighborhood: Downtown Main
Style Upholstering,"Suites At Market Square - M-1007, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Stylecraft Home Collection, Inc.",130 S. Main St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Sublime Original,501 S. Centennial St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Sublime Original,515 S. Hamilton St. ,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Subrtex Houseware Inc.,"Suites At Market Square - M-4027, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Sugarboo & Co,"Suites At Market Square - G-2000, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Suites at Market Square,Suites At Market Square - 200 W. Commerce Ave.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Summer Classics Inc.,333 N. Hamilton St.,Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Summerthur Antiques,"Market Square - G-16B, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Sun Cabinet Co. Ltd.,"812 Millis, Floor 3",Shuttle Stop: 0 (Go Anywhere Shuttle),
Sunflower Hometex,"Suites At Market Square - M-4028, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Sunny Designs, Inc.","Market On Green - 601, Floor 6",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
SUNPAN,"Showplace - 1200, 1650, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Superior Furniture,"Radio Building, Floor 4",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Surya,"Showplace - 4100, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Susan Wheeler Home,"Market Square - G-55B, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Sustainable Furnishings Council,"Radio Building - 415, Floor 4",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Swaim,1801 S. University Parkway,Shuttle Stop: 0 (Go Anywhere Shuttle),
"Swavelle/Mill Creek Fabrics, Inc.","Market Square Tower - 880, Floor 8",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Synchrony,"Plaza Suites - 1-527 #17, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Synergy Home Furnishings,"118 N. Main St., 2nd & 3rd Floors",Shuttle Stop: 25 (Red Line),Neighborhood: Downtown Main
Szynaka Meble,"220 Elm - 204, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"T. Botero Galleries, LLC","Market Square - 124, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Tamarian,"Centers of High Point: Russell - 112, Floor 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Tana Bana Design,"Market Square - 140, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Tandem Antiques,"214 Modern Vintage - 314 W. Russell Ave., Floor 1",Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
"Tanko Enterprise Co., Ltd","Suites At Market Square - Global Sourcing Pavilion, T-502, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Taracea,"Radio Building - Museum, Floor 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Tartone Enterprises,212 Jacobs Pl,Shuttle Stop: 5 (Green Line),Neighborhood: Market Square & Elm
Taylor King Furniture,"200 Steele - 304, Floor 3",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Taylor Linens,"Suites At Market Square - G-6058, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
TD Retail Card Services,Plaza Suites - 1-419,Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Tech Lighting,"Commerce & Design - 2A, 2G, Floor 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Telescope Casual Furniture,"Showplace - 1800, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Tempaper,"IHFC - IH305, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Temple Furniture,"310 N. Hamilton St. - S-301, Floor 3",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Tempo Upholstery & Drapery Fabrics,"Market Square - 202, Floor 2",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Tempotest USA by PARA,"Market Square Tower - 326, Floor 3",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Tempur Sealy International,"One Office Pkwy, Trinity NC  27370",Shuttle Stop: 0 (Go Anywhere Shuttle),
Texture,517 S. Hamilton St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
Textures in Wallcovering,"Suites At Market Square - M-5013, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Thad Cline,"Suites At Market Square - M-6013, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Thayer Coggin Inc,"230 South Road, High Point",Shuttle Stop: 0 (Go Anywhere Shuttle),
The Bank on Wrenn,The Bank on Wrenn - 203 N. Wrenn St.,Shuttle Stop: 25 (Red Line),Neighborhood: Hamilton Wrenn
The Canvas Nursery Inc.,"Suites At Market Square - M-5036, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
the Hudson Mercantile,"214 Modern Vintage - 314 W. Russell Ave., Floor 1",Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
The Joe Ruggiero Collection,311 N. Hamilton St.,Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
The Leonard Collection Art and Framing,"Suites At Market Square - M-2000, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
The Monday Company,"Centers of High Point: Hamilton - 026, Lower Level",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
The MT Company,311 N. Hamilton St.,Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
The Mural Source/Paul Montgomery,"Suites At Market Square - G-6059, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"The Natural Light, Inc.","200 Steele - 201, Floor 2",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
The Persian Carpet and Southwest Looms,"Suites At Market Square - G-1042, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
The Pillow Bar,"Suites At Market Square - G-2025, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
The Polish Chamber of Commerce of Furniture Manufacturers,"220 Elm - 204, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
The Roger Thomas Collection by Studio A Home,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
The Royals Project,515 S. Hamilton St.,Shuttle Stop: 11 (Green Line),Neighborhood: Centennial Wrenn South
The Sherrod,"The Sherrod - 1100 N. Main St., Main Floor",Shuttle Stop: 0 (Go Anywhere Shuttle),
